car_description,car_name,km_traveled,value,year
1.0 12v Sense Manual,Hyundai Hb20,52.450,R$ 60.570,2020
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,51.405,R$ 54.670,2019
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,60.285,R$ 53.870,2019
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,38.524,R$ 54.870,2019
1.2 Pure Tech Origine Manual,Citroen C3,78.227,R$ 45.770,2018
1.6 Comfort Style 16v Automático,Hyundai Hb20s,33.631,R$ 76.870,2019
1.8 16v Sport Automático,Jeep Renegade,48.544,R$ 94.970,2020
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,51.022,R$ 54.670,2019
2.4 Precision 16v Automático,Fiat Freemont,112.008,R$ 57.870,2012
1.6 Msi Total Automático,Volkswagen Polo,46.271,R$ 74.970,2020
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,42.529,R$ 54.870,2019
1.6 Msi Totalflex Manual,Volkswagen Voyage,39.800,R$ 61.970,2021
1.0 Ti-vct Se Manual,Ford Ka,21.050,R$ 56.570,2020
1.0 Turbo Lt Automático,Chevrolet Tracker,68.078,R$ 111.170,2021
1.6 Msi Trendline 8v Manual,Volkswagen Fox,81.552,R$ 49.570,2015
1.0 200 Tsi Highline Automático,Volkswagen Virtus,23.590,R$ 97.870,2020
1.0 200 Tsi Highline Automático,Volkswagen Virtus,16.462,R$ 98.870,2020
1.0 200 Tsi Highline Automático,Volkswagen Virtus,18.592,R$ 97.870,2020
1.5 Mivec Turbo Hpe-s Cvt,Mitsubishi Eclipse cross,20.962,R$ 153.970,2019
1.4 250 Tsi Total R-line Tiptronic,Volkswagen Jetta,64.753,R$ 127.070,2018
1.8 Vvt-i Hybrid Altis Cvt,Toyota Corolla,54.808,R$ 154.880,2021
1.6 Mi 8v Manual,Volkswagen Fox,91.859,R$ 44.870,2014
1.4 Mpi Hard Working Cs 8v Manual,Fiat Strada,78.651,R$ 61.780,2020
1.0 Unique 12v Manual,Hyundai Hb20,43.316,R$ 57.970,2019
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,64.766,R$ 53.870,2019
1.0 12v Mpi Totalflex Manual,Volkswagen Gol,64.409,R$ 52.770,2020
1.4 Mpi Hard Working Cs 8v Manual,Fiat Strada,84.779,R$ 61.780,2020
1.0 12v Mpi Totalflex Manual,Volkswagen Gol,43.110,R$ 53.870,2020
2.0 Lx 4x2 16v Automático,Kia Sportage,42.459,R$ 122.970,2019
1.0 12v Mpi Totalflex Manual,Volkswagen Gol,53.492,R$ 56.370,2021
1.0 200 Tsi Total Comfortline Automático,Volkswagen T-cross,57.552,R$ 111.970,2020
1.0 200 Tsi Highline Automático,Volkswagen Virtus,19.119,R$ 97.870,2020
2.0 16v Longitude Automático,Jeep Compass,96.332,R$ 113.970,2017
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,24.896,R$ 90.870,2020
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,106.076,R$ 74.880,2018
1.6 Comfort Plus 16v Automático,Hyundai Hb20s,46.484,R$ 72.870,2019
1.6 Comfort Plus 16v Manual,Hyundai Hb20,46.174,R$ 67.870,2019
1.4 Mpi Hard Working Cs 8v Manual,Fiat Strada,73.289,R$ 61.780,2020
1.4 Mpi Hard Working Cs 8v Manual,Fiat Strada,85.048,R$ 61.780,2020
1.0 200 Tsi Total Comfortline Automático,Volkswagen T-cross,51.935,R$ 113.970,2020
1.0 200 Tsi Highline Automático,Volkswagen Virtus,38.378,R$ 96.870,2020
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,19.774,R$ 91.870,2020
1.0 200 Tsi Highline Automático,Volkswagen Virtus,35.146,R$ 97.870,2020
1.0 200 Tsi Highline Automático,Volkswagen Virtus,15.430,R$ 98.870,2020
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,22.394,R$ 90.870,2020
1.0 200 Tsi Highline Automático,Volkswagen Virtus,32.986,R$ 97.870,2020
1.6 16v Allure Pack Automático,Peugeot 2008,61.891,R$ 79.870,2020
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,49.474,R$ 54.670,2019
1.0 Tgdi Evolution Automático,Hyundai Hb20s,52.348,R$ 82.570,2020
1.8 Premier 8v Automático,Chevrolet Spin,45.918,R$ 92.670,2020
1.6 Comfort Plus 16v Manual,Hyundai Hb20,69.298,R$ 66.870,2019
1.0 200 Tsi Highline Automático,Volkswagen Virtus,16.760,R$ 98.870,2020
1.0 Ti-vct Se Manual,Ford Ka,36.528,R$ 55.870,2020
1.0 Ti-vct Se Manual,Ford Ka,27.389,R$ 56.570,2020
1.0 12v Sce Zen Manual,Renault Kwid,19.204,R$ 52.470,2021
1.0 200 Tsi Comfortline Automático,Volkswagen Polo,18.784,R$ 85.970,2020
1.0 200 Tsi Comfortline Automático,Volkswagen Polo,14.502,R$ 87.970,2020
1.6 Msi Total Xtreme Manual,Volkswagen Fox,45.240,R$ 66.970,2019
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,72.087,R$ 50.880,2019
2.0 16v Longitude Automático,Jeep Compass,59.602,R$ 128.270,2020
2.0 16v Longitude Automático,Jeep Compass,46.560,R$ 120.970,2018
1.0 12v Sce Life Manual,Renault Logan,70.181,R$ 53.780,2021
1.6 16v Sce Expression Manual,Renault Duster,42.280,R$ 80.470,2020
1.6 16v Sce Bose X-tronic,Renault Captur,33.416,R$ 106.970,2021
1.0 Tgdi Evolution Automático,Hyundai Hb20s,60.509,R$ 81.770,2020
1.0 12v Mpi Totalflex Manual,Volkswagen Gol,43.497,R$ 53.870,2020
1.0 12v Sce Life Manual,Renault Sandero,67.586,R$ 52.370,2020
1.0 Evo Like. Manual,Fiat Mobi,79.169,R$ 46.780,2020
1.0 Fire Attractive Manual,Fiat Uno,75.001,R$ 47.280,2020
1.0 Unique 12v Manual,Hyundai Hb20,66.160,R$ 56.970,2019
1.0 Evo Like. Manual,Fiat Mobi,76.333,R$ 44.480,2019
1.6 16v Sce Expression Manual,Renault Logan,73.891,R$ 49.380,2019
1.6 16v Sce Expression Manual,Renault Logan,61.945,R$ 52.970,2019
1.6 16v Sce Expression Manual,Renault Logan,97.518,R$ 49.380,2019
1.6 16v Sce Expression Manual,Renault Logan,71.511,R$ 52.970,2019
1.0 Evo Like. Manual,Fiat Mobi,77.225,R$ 44.480,2019
1.0 12v Sce Life Manual,Renault Logan,96.384,R$ 50.580,2020
1.0 Ti-vct Se Manual,Ford Ka,20.871,R$ 56.570,2020
1.0 Comfort Plus 12v Manual,Hyundai Hb20s,81.453,R$ 63.880,2019
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,57.754,R$ 54.670,2019
1.0 Evo Like. Manual,Fiat Mobi,94.897,R$ 44.480,2019
1.6 16v Vision Automático,Hyundai Hb20,13.985,R$ 84.970,2021
1.0 Lt Manual,Chevrolet Onix,49.699,R$ 69.970,2020
1.4 Tfsi Ambiente S Tronic,Audi Q3,74.694,R$ 116.770,2016
1.8 16v Ex Automático,Honda Hr-v,49.842,R$ 121.870,2020
2.0 16v Longitude Automático,Jeep Compass,47.899,R$ 128.980,2020
1.6 16v Sce Expression X-tronic,Renault Duster,45.509,R$ 79.970,2020
1.6 Msi Totalflex Manual,Volkswagen Voyage,48.000,R$ 61.970,2021
1.4 Tfsi Sportback Ambiente 16v S-tronic,Audi A3,68.053,R$ 122.870,2018
1.5 Ex 16v Automático,Honda City,47.307,R$ 95.870,2019
1.6 16v Sce Bose X-tronic,Renault Captur,36.016,R$ 104.870,2021
1.4 250 Tsi Total Comfortline Tiptronic,Volkswagen Jetta,42.049,R$ 112.870,2018
1.4 250 Tsi Total Comfortline Tiptronic,Volkswagen Jetta,79.560,R$ 109.870,2018
1.0 Evo Like. Manual,Fiat Mobi,96.772,R$ 46.780,2020
1.0 Fire Attractive Manual,Fiat Uno,98.625,R$ 47.280,2020
1.0 Fire Attractive Manual,Fiat Uno,88.758,R$ 47.280,2020
1.0 Evo Like. Manual,Fiat Mobi,78.309,R$ 46.780,2020
1.0 Evo Like. Manual,Fiat Mobi,61.258,R$ 49.470,2020
1.4 Mpi Hard Working Ce 8v Manual,Fiat Strada,64.988,R$ 65.070,2020
1.8 16v Longitude Automático,Jeep Renegade,53.444,R$ 92.970,2020
1.8 16v Longitude Automático,Jeep Renegade,44.825,R$ 93.570,2020
1.8 16v Longitude Automático,Jeep Renegade,49.483,R$ 90.770,2019
1.0 Fire Attractive Manual,Fiat Uno,47.382,R$ 49.470,2020
1.0 Fire Attractive Manual,Fiat Uno,79.963,R$ 47.280,2020
1.0 Fire Attractive Manual,Fiat Uno,71.743,R$ 47.880,2020
1.0 Fire Attractive Manual,Fiat Uno,80.282,R$ 47.280,2020
2.0 16v Longitude Automático,Jeep Compass,47.992,R$ 126.870,2019
1.0 Evo Like. Manual,Fiat Mobi,84.460,R$ 44.480,2019
1.0 Evo Like. Manual,Fiat Mobi,80.133,R$ 44.480,2019
1.4 Mpi Hard Working Ce 8v Manual,Fiat Strada,72.242,R$ 62.480,2020
1.0 Unique 12v Manual,Hyundai Hb20,29.588,R$ 58.870,2019
1.4 Tfsi Sportback Prestige Plus S-tronic,Audi A3,53.686,R$ 164.980,2020
1.0 12v Mpi Totalflex Trendline Manual,Volkswagen Voyage,93.701,R$ 47.680,2018
1.0 Firefly Way Manual,Fiat Uno,61.734,R$ 47.570,2019
1.0 Unique 12v Manual,Hyundai Hb20,42.929,R$ 57.970,2019
1.0 Evo Like. Manual,Fiat Mobi,34.836,R$ 50.970,2020
2.0 16v Longitude Automático,Jeep Compass,89.656,R$ 114.970,2017
1.0 Mpfi Lt 8v Manual,Chevrolet Onix,43.668,R$ 59.670,2019
1.4 250 Tsi Total R-line Tiptronic,Volkswagen Jetta,88.022,R$ 124.580,2019
3.0 V6 Tdi Diesel Highline Cd 4motion Automático,Volkswagen Amarok,67.368,R$ 228.970,2019
1.4 Mpi Hard Working Ce 8v Manual,Fiat Strada,60.408,R$ 65.770,2020
1.4 Mpi Hard Working Ce 8v Manual,Fiat Strada,68.250,R$ 65.770,2020
2.0 16v Tsi Bluemotion Highline Dsg,Volkswagen Passat,80.646,R$ 150.970,2017
1.4 Tsi Comfortline 16v Automático,Volkswagen Golf,74.537,R$ 78.970,2015
1.0 Mi City 8v Manual,Volkswagen Voyage,87.101,R$ 44.470,2015
1.5 Ti-vct Se Sedan Manual,Ford Ka,61.764,R$ 55.970,2019
1.0 Ti-vct Se Manual,Ford Ka,74.413,R$ 51.980,2020
1.0 Lt Manual,Chevrolet Onix,70.100,R$ 66.080,2020
1.0 Comfort 12v Manual,Hyundai Hb20,37.445,R$ 62.870,2019
1.8 Mpi Essence 7l 16v Manual,Fiat Doblo,46.521,R$ 89.970,2021
1.4 Tfsi Ambiente S Tronic,Audi Q3,81.376,R$ 116.770,2016
1.0 Mpfi Lt 8v Manual,Chevrolet Onix,93.838,R$ 54.680,2019
2.0 Tsi Gti 16v Turbo Automático,Volkswagen Golf,114.029,R$ 144.880,2017
2.0 Se 16v Automático,Ford Ecosport,89.152,R$ 57.870,2014
2.5 16v Automático,Ford Fusion,108.186,R$ 73.970,2013
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,59.187,R$ 54.670,2019
1.4 Mpi Hard Working Ce 8v Manual,Fiat Strada,70.980,R$ 62.480,2020
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,60.157,R$ 53.870,2019
1.0 Unique 12v Manual,Hyundai Hb20s,79.921,R$ 56.680,2019
1.4 Mpi Hard Working Ce 8v Manual,Fiat Strada,70.633,R$ 62.480,2020
1.0 Se 12v Manual,Ford Ka,81.229,R$ 47.970,2018
1.0 Evo Like. Manual,Fiat Mobi,81.616,R$ 44.480,2019
1.0 Evo Like. Manual,Fiat Mobi,67.062,R$ 46.870,2019
1.0 Mpi Take Up 12v Manual,Volkswagen Up,20.241,R$ 47.970,2017
1.0 12v Vision Manual,Hyundai Hb20s,58.189,R$ 67.470,2020
3.5 Xle V6 24v Automático,Toyota Camry,45.353,R$ 187.980,2018
1.4 Turbo Lt 16v Automático,Chevrolet Cruze,46.574,R$ 108.970,2020
1.6 Msi Total Automático,Volkswagen Polo,35.208,R$ 75.970,2020
1.6 Msi Total Automático,Volkswagen Polo,46.694,R$ 74.970,2020
1.6 Msi Total Automático,Volkswagen Polo,62.249,R$ 73.970,2020
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,66.702,R$ 56.870,2020
1.0 Evo Like. Manual,Fiat Mobi,79.222,R$ 46.780,2020
1.0 Fire Attractive Manual,Fiat Uno,93.470,R$ 47.280,2020
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,68.728,R$ 53.870,2019
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,90.727,R$ 50.880,2019
1.4 250 Tsi Total Comfortline Tiptronic,Volkswagen Jetta,81.973,R$ 109.870,2018
1.0 Evo Like. Manual,Fiat Mobi,76.495,R$ 44.480,2019
1.0 Evo Like. Manual,Fiat Mobi,92.552,R$ 44.480,2019
1.0 Evo Like. Manual,Fiat Mobi,90.120,R$ 44.480,2019
1.0 Evo Like. Manual,Fiat Mobi,81.740,R$ 44.480,2019
1.0 Evo Like. Manual,Fiat Mobi,92.951,R$ 44.480,2019
1.0 Evo Like. Manual,Fiat Mobi,95.836,R$ 44.480,2019
1.6 Comfort Plus 16v Manual,Hyundai Hb20,76.834,R$ 61.770,2018
1.4 Turbo Ltz 16v Automático,Chevrolet Cruze,64.169,R$ 98.870,2018
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,60.376,R$ 51.870,2018
1.0 Black Spe/4 Eco,Chevrolet Joy,51.641,R$ 59.980,2020
1.8 Premier 8v Automático,Chevrolet Spin,53.316,R$ 92.670,2020
1.0 Evo Like. Manual,Fiat Mobi,70.446,R$ 46.870,2019
1.0 12v Sce Authentique Manual,Renault Sandero,96.640,R$ 43.280,2019
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,65.815,R$ 51.870,2018
1.0 Ti-vct Se Manual,Ford Ka,36.051,R$ 55.870,2020
1.0 Evo Like. Manual,Fiat Mobi,84.929,R$ 44.480,2019
2.0 Xei 16v Automático,Toyota Corolla,65.873,R$ 114.870,2019
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,41.481,R$ 88.870,2020
1.6 16v Pulse Plus Automático,Hyundai Creta,29.192,R$ 99.870,2019
1.0 Ti-vct Se Manual,Ford Ka,40.962,R$ 55.870,2020
1.6 Comfort Plus 16v Manual,Hyundai Hb20s,57.326,R$ 70.870,2019
1.5 16v Sedan Xl Multidrive,Toyota Yaris,60.043,R$ 82.870,2019
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,47.314,R$ 83.270,2020
1.0 12v Vision Manual,Hyundai Hb20s,56.786,R$ 67.470,2020
1.6 Msi Total Automático,Volkswagen Polo,46.338,R$ 74.970,2020
1.0 Evo Like. Manual,Fiat Mobi,65.068,R$ 46.870,2019
1.6 16v Sce Iconic X-tronic,Renault Logan,44.714,R$ 74.270,2020
1.4 Mpi Attractive 8v Manual,Fiat Grand siena,41.257,R$ 61.270,2021
1.4 Turbo Lt 16v Automático,Chevrolet Cruze,50.097,R$ 99.770,2019
1.0 Black Spe/4 Eco,Chevrolet Joy,54.070,R$ 57.880,2020
1.5 Ti-vct Freestyle Automático,Ford Ecosport,40.552,R$ 89.870,2020
2.0 16v Limited Automático,Jeep Compass,76.505,R$ 116.870,2017
1.6 Comfort Plus 16v Manual,Hyundai Hb20s,41.458,R$ 71.770,2019
1.6 Comfort Plus 16v Automático,Hyundai Hb20s,51.595,R$ 71.970,2019
1.0 200 Tsi Highline Automático,Volkswagen Virtus,19.469,R$ 97.870,2020
1.8 Lt 16v Automático,Chevrolet Cruze,73.483,R$ 72.970,2015
1.0 Evo Like. Manual,Fiat Mobi,69.468,R$ 46.870,2019
1.0 12v Sce Authentique Manual,Renault Sandero,74.866,R$ 46.680,2020
1.0 Evo Like. Manual,Fiat Mobi,82.621,R$ 44.480,2019
1.0 Evo Like. Manual,Fiat Mobi,82.921,R$ 44.480,2019
1.0 Evo Like. Manual,Fiat Mobi,80.010,R$ 44.480,2019
1.0 Evo Like. Manual,Fiat Mobi,61.904,R$ 46.870,2019
1.6 Msi Total Automático,Volkswagen Polo,67.115,R$ 73.970,2020
1.0 Lt Manual,Chevrolet Onix,52.129,R$ 69.970,2020
1.0 12v Sce Zen Manual,Renault Kwid,37.115,R$ 50.870,2021
1.0 12v Sense Manual,Hyundai Hb20,66.423,R$ 59.970,2020
1.0 Comfort Plus 12v Manual,Hyundai Hb20,74.902,R$ 58.180,2019
1.0 12v Vision Manual,Hyundai Hb20s,58.631,R$ 67.470,2020
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,58.498,R$ 56.870,2020
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,37.846,R$ 54.870,2019
2.0 16v Turbo Premier Awd Automático,Chevrolet Equinox,31.163,R$ 164.870,2019
1.0 12v Sce Life Manual,Renault Logan,58.724,R$ 53.470,2020
1.6 16v Vision Automático,Hyundai Hb20s,49.325,R$ 79.770,2020
1.0 Evo Like. Manual,Fiat Mobi,81.029,R$ 44.480,2019
1.0 Tgdi Evolution Automático,Hyundai Hb20s,41.814,R$ 82.870,2020
1.6 Msi Total Automático,Volkswagen Polo,60.307,R$ 73.970,2020
1.0 12v Vision Manual,Hyundai Hb20,56.889,R$ 63.970,2020
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,64.310,R$ 56.870,2020
1.6 16v Allure Pack Automático,Peugeot 2008,48.474,R$ 79.870,2020
1.0 Comfort 12v Manual,Hyundai Hb20,78.627,R$ 55.870,2018
1.0 Fire Attractive Manual,Fiat Uno,54.167,R$ 47.870,2020
1.0 Fire Attractive Manual,Fiat Uno,64.495,R$ 47.870,2020
1.0 Lt Manual,Chevrolet Onix,49.681,R$ 69.970,2020
1.0 12v Sce Authentique Manual,Renault Logan,85.044,R$ 47.980,2020
1.0 12v Sce Authentique Manual,Renault Logan,89.423,R$ 45.870,2018
1.0 Evo Like. Manual,Fiat Mobi,87.423,R$ 44.480,2019
1.0 Evo Like. Manual,Fiat Mobi,87.235,R$ 44.480,2019
2.0 16v Flexone Exl Cvt,Honda Civic,37.159,R$ 132.470,2020
1.0 Evo Like. Manual,Fiat Mobi,75.181,R$ 44.480,2019
1.0 Evo Like. Manual,Fiat Mobi,87.990,R$ 44.480,2019
1.0 Evo Like. Manual,Fiat Mobi,63.678,R$ 46.870,2019
1.0 Evo Like. Manual,Fiat Mobi,89.868,R$ 44.480,2019
1.0 Evo Like. Manual,Fiat Mobi,65.274,R$ 49.470,2020
1.0 Evo Like. Manual,Fiat Mobi,70.581,R$ 46.780,2020
2.0 16v Sport Automático,Jeep Compass,84.863,R$ 109.870,2018
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,80.498,R$ 50.880,2019
1.0 12v Mpi Totalflex Manual,Volkswagen Gol,92.302,R$ 50.080,2020
1.0 Firefly Drive Manual,Fiat Argo,56.823,R$ 60.270,2020
1.0 12v Mpi Totalflex Trendline Manual,Volkswagen Gol,91.827,R$ 45.870,2017
1.0 12v Mpi Totalflex Trendline Manual,Volkswagen Gol,79.799,R$ 48.870,2018
1.0 12v Mpi Totalflex Trendline Manual,Volkswagen Gol,90.138,R$ 45.380,2018
1.0 12v Mpi Totalflex Trendline Manual,Volkswagen Gol,74.149,R$ 48.870,2018
1.0 12v Mpi Totalflex Trendline Manual,Volkswagen Gol,83.112,R$ 48.870,2018
2.0 S 4x4 Cd 16v Turbo Intercooler Diesel Manual,Volkswagen Amarok,73.935,R$ 127.670,2018
2.0 S 4x4 Cd 16v Turbo Intercooler Diesel Manual,Volkswagen Amarok,87.918,R$ 121.080,2018
1.0 12v Sce Authentique Manual,Renault Sandero,93.738,R$ 43.280,2019
1.0 12v Sce Life Manual,Renault Logan,39.503,R$ 52.880,2020
1.6 Msi Totalflex Manual,Volkswagen Voyage,93.020,R$ 54.080,2019
1.6 16v 4you Automático,Suzuki Vitara,75.687,R$ 87.070,2017
1.0 12v Sce Life Manual,Renault Logan,50.451,R$ 53.870,2020
1.0 12v Sense Manual,Hyundai Hb20,43.337,R$ 61.070,2020
1.0 12v Sce Zen Manual,Renault Logan,84.301,R$ 51.780,2020
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,48.816,R$ 54.670,2019
1.0 S 12v Manual,Nissan March,101.291,R$ 42.480,2019
1.0 12v Mpi Totalflex Trendline Manual,Volkswagen Gol,50.593,R$ 48.970,2017
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,63.637,R$ 53.870,2019
1.0 Fire Attractive Manual,Fiat Uno,52.529,R$ 49.470,2020
1.6 Comfort Plus 16v Manual,Hyundai Hb20s,46.530,R$ 71.770,2019
1.6 Comfort Plus 16v Manual,Hyundai Hb20,47.300,R$ 67.870,2019
1.0 Evo Vivace 8v Manual,Fiat Uno,89.964,R$ 34.970,2014
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,70.162,R$ 51.870,2018
1.4 250 Tsi Total Highline Automático,Volkswagen T-cross,62.404,R$ 110.970,2020
1.0 12v Mpi Totalflex Trendline Manual,Volkswagen Gol,96.783,R$ 45.380,2018
1.0 Tgdi Evolution Automático,Hyundai Hb20s,65.763,R$ 81.770,2020
1.0 200 Tsi Comfortline Automático,Volkswagen Polo,43.233,R$ 82.970,2019
1.6 16v Vision Automático,Hyundai Hb20s,45.257,R$ 79.770,2020
2.0 Vvt-ie Gli Direct Shift,Toyota Corolla,50.992,R$ 126.870,2021
1.0 12v Vision Manual,Hyundai Hb20s,50.555,R$ 67.870,2020
1.0 Spe4 Manual,Chevrolet Joy,59.203,R$ 56.570,2020
1.0 Fire Attractive Manual,Fiat Uno,70.791,R$ 47.280,2020
1.8 Mpi Essence 7l 16v Manual,Fiat Doblo,52.000,R$ 81.870,2020
2.0 Sv 16v Flexstart Automático,Nissan Sentra,80.776,R$ 81.870,2018
1.0 Evo Like. Manual,Fiat Mobi,70.661,R$ 46.870,2019
1.0 Comfort 12v Manual,Hyundai Hb20,86.000,R$ 55.870,2018
1.0 12v Sce Zen Manual,Renault Kwid,29.150,R$ 49.870,2020
1.8 16v Exl Automático,Honda Hr-v,19.759,R$ 131.870,2020
2.0 16v Hi-flex Dynamique Automático,Renault Duster oroch,53.853,R$ 90.970,2020
1.0 Comfort Plus 12v Manual,Hyundai Hb20s,51.813,R$ 66.870,2019
1.0 12v Vision Manual,Hyundai Hb20s,44.391,R$ 68.870,2020
1.0 Turbo Premier Automático,Chevrolet Onix,40.405,R$ 91.870,2020
1.8 16v Longitude Automático,Jeep Renegade,46.422,R$ 92.970,2020
1.0 Turbo Plus Ltz Manual,Chevrolet Onix,53.027,R$ 82.870,2020
1.4 16v Turbo Lt Automático,Chevrolet Tracker,30.890,R$ 89.970,2018
1.0 Mpfi Joy 8v Manual,Chevrolet Prisma,70.686,R$ 56.170,2019
1.0 Evo Like. Manual,Fiat Mobi,96.665,R$ 44.480,2019
1.8 16v Longitude Automático,Jeep Renegade,55.392,R$ 90.770,2019
1.5 Ex 16v Automático,Honda City,40.004,R$ 95.870,2019
1.0 12v Vision Manual,Hyundai Hb20s,38.734,R$ 68.870,2020
1.6 Msi Total Automático,Volkswagen Virtus,50.888,R$ 81.970,2020
1.4 Turbo Lt 16v Automático,Chevrolet Cruze,26.114,R$ 110.970,2020
1.0 Evo Like. Manual,Fiat Mobi,83.614,R$ 44.480,2019
1.6 Comfort Plus 16v Manual,Hyundai Hb20s,67.421,R$ 69.870,2019
1.6 Comfort Plus 16v Manual,Hyundai Hb20,47.217,R$ 67.870,2019
1.8 16v Ex Automático,Honda Hr-v,46.203,R$ 121.870,2020
1.0 12v Mpi Totalflex Manual,Volkswagen Gol,44.699,R$ 53.870,2020
1.6 16v Sce Intense X-tronic,Renault Captur,26.629,R$ 90.970,2019
1.0 Unique 12v Manual,Hyundai Hb20,67.280,R$ 56.970,2019
2.0 16v Longitude Automático,Jeep Compass,31.352,R$ 120.970,2018
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,58.230,R$ 56.870,2020
1.0 12v Sense Manual,Hyundai Hb20,45.046,R$ 60.570,2020
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,53.079,R$ 54.670,2019
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,74.326,R$ 51.870,2018
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,56.696,R$ 51.870,2018
1.0 12v Sce Authentique Manual,Renault Logan,80.589,R$ 47.980,2020
2.0 Titanium Awd 16v Automático,Ford Fusion,67.060,R$ 124.970,2018
1.3 4work 4x4 16v Manual,Suzuki Jimny,34.069,R$ 99.870,2020
1.6 Msi Total Manual,Volkswagen Polo,59.300,R$ 68.870,2018
1.0 Comfort 12v Manual,Hyundai Hb20,74.154,R$ 52.970,2017
1.5 X Sedan 16v Automático,Toyota Etios,40.216,R$ 69.670,2020
1.0 Firefly Drive Manual,Fiat Argo,69.882,R$ 58.770,2019
1.0 12v Mpi Totalflex Manual,Volkswagen Gol,52.063,R$ 52.970,2020
1.0 12v Sce Authentique Manual,Renault Logan,98.169,R$ 47.980,2020
1.0 12v Vision Manual,Hyundai Hb20s,58.772,R$ 67.470,2020
1.0 Unique 12v Manual,Hyundai Hb20,57.919,R$ 57.870,2019
1.5 X Sedan 16v Automático,Toyota Etios,47.406,R$ 68.970,2020
1.0 Turbo Lt Manual,Chevrolet Onix,76.347,R$ 68.580,2020
1.4 Turbo Lt 16v Automático,Chevrolet Cruze,46.049,R$ 108.970,2020
1.0 Mpfi Joy 8v Manual,Chevrolet Prisma,79.030,R$ 51.980,2019
2.0 16v Hi-flex Dynamique Automático,Renault Duster oroch,62.753,R$ 89.870,2020
1.0 200 Tsi Highline Automático,Volkswagen Virtus,33.264,R$ 97.870,2020
1.6 Msi Total Automático,Volkswagen Polo,66.687,R$ 73.970,2020
1.0 Unique 12v Manual,Hyundai Hb20,40.862,R$ 58.870,2019
1.0 Lt Manual,Chevrolet Onix,71.874,R$ 66.080,2020
1.0 12v Sense Manual,Hyundai Hb20,49.976,R$ 60.570,2020
1.6 Msi Total Automático,Volkswagen Virtus,59.408,R$ 78.970,2019
1.0 Lt Manual,Chevrolet Onix,50.672,R$ 69.970,2020
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,57.924,R$ 51.870,2018
1.4 16v Turbo Ltz Automático,Chevrolet Tracker,75.858,R$ 95.970,2017
1.0 12v Sense Manual,Hyundai Hb20,52.382,R$ 60.570,2020
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,70.236,R$ 51.870,2018
1.0 Tgdi Evolution Automático,Hyundai Hb20s,47.874,R$ 82.570,2020
1.6 16v Sce Intense X-tronic,Renault Sandero,51.001,R$ 71.070,2020
1.6 Msi Total Automático,Volkswagen Polo,69.399,R$ 73.970,2020
1.0 12v Vision Manual,Hyundai Hb20,55.293,R$ 63.970,2020
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,47.359,R$ 57.870,2020
1.0 12v Sce Life Manual,Renault Logan,65.233,R$ 53.470,2020
1.6 Comfort Plus 16v Manual,Hyundai Hb20s,55.638,R$ 70.870,2019
1.8 Mpi Essence 7l 16v Manual,Fiat Doblo,49.005,R$ 81.870,2020
1.5 X Sedan 16v Automático,Toyota Etios,67.350,R$ 68.970,2020
1.0 Fire Attractive Manual,Fiat Uno,51.053,R$ 49.470,2020
1.8 16v Longitude Automático,Jeep Renegade,63.169,R$ 89.970,2018
1.0 Lt Manual,Chevrolet Onix,47.416,R$ 69.970,2020
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,68.572,R$ 53.870,2019
