car_description,car_name,km_traveled,value,year
1.0 Unique 12v Manual,Hyundai Hb20,31.681,R$ 58.570,2019
2.0 16v Longitude Automático,Jeep Compass,48.210,R$ 126.970,2019
1.0 12v Sense Manual,Hyundai Hb20,23.923,R$ 65.870,2021
1.5 Ex 16v Automático,Honda Fit,45.889,R$ 90.970,2019
2.0 Xei 16v Automático,Toyota Corolla,68.015,R$ 114.870,2019
1.5 Lx 16v Manual,Honda Fit,97.827,R$ 60.870,2015
1.4 250 Tsi Total R-line Tiptronic,Volkswagen Jetta,37.155,R$ 135.970,2019
2.0 16v Longitude Automático,Jeep Compass,6.406,R$ 150.570,2021
1.4 250 Tsi Total Allspace Comfortline Tiptronic,Volkswagen Tiguan,40.697,R$ 152.870,2018
2.0 16v Sport Automático,Hyundai Creta,49.422,R$ 99.870,2018
1.0 Firefly Way Manual,Fiat Uno,57.974,R$ 55.770,2021
1.8 Ltz 16v Automático,Chevrolet Cruze,82.378,R$ 68.870,2014
1.3 16v Xl Manual,Toyota Yaris,43.795,R$ 75.870,2019
1.6 16v Sce Dynamique X-tronic,Renault Duster,53.355,R$ 82.470,2020
1.0 Turbo Plus Lt Manual,Chevrolet Onix,25.903,R$ 77.770,2020
1.5 Tivct Freestyle Automático,Ford Ecosport,74.646,R$ 79.970,2018
1.6 16v Sce Zen Manual,Renault Logan,37.132,R$ 66.270,2021
1.4 Mpfi Ltz 8v Automático,Chevrolet Prisma,39.827,R$ 75.970,2019
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,38.250,R$ 85.970,2018
1.6 16v Sce Expression X-tronic,Renault Duster,19.299,R$ 82.970,2020
1.6 S All4 4x4 16v 184cv Turbo Automático,Mini Countryman,46.256,R$ 140.270,2015
1.6 16v Flexstart Sv Xtronic,Nissan Kicks,54.122,R$ 96.970,2020
1.8 Gli 16v Automático,Toyota Corolla,72.320,R$ 92.970,2018
2.0 16v Longitude Automático,Jeep Compass,52.841,R$ 120.970,2018
